Nombre en el dashboard de Visualización;Nombre en el esquema REPORTING;Tabla en esquema reporting;ID asociado(Primary Key-Formato1)-vinculo que relaciona la variable;Nombre de esta variable en el esquema STAGE;Tabla en esquema Stage;Tipo de Variable y Descripción Técnica;Panel(es) de Uso(nombre o título del panel en el dashboard);Tipo de Visual(tipo de grafico, card o elemento que se usará en el dashboard);Observacion en reporting(algun comentario importante a tomar en cuenta);Ident Dashboard Element(número del elemento o grafico dentro de cada panel del dashboard;Frecuencia(si es una varoable estática o de otro tipo(instantánea, diaria, horaria, etc);Lógica de agregación(para BI);Comportamiento de filtro(para BI)
Period;time_granularity;N/A;N/A;N/A;N/A;Selector de granularidad de tiempo para el Dashboard (Daily, Monthly, Last 30 days). La lógica de cambio de tabla se implementa en capa de modelo/BI, no en Stage”.;Transversal;Texto / Selector;“Selector de granularidad de tiempo para el Dashboard (Daily, Monthly, Last 30 days). La lógica de cambio de tabla se implementa en capa de modelo/BI, no en Stage”.;42;Estática;N/A;"Daily → unir contra FACT_OPERACIONES_HORARIAS o dataset_current_values.
Monthly → agrupar sobre FACT_OPERACIONES_DIARIAS por Mes.
Last 30 days → rango móvil de 30 días sobre FACT_OPERACIONES_DIARIAS"
Pump Average SPM;pump_avg_spm_act;reporting.dataset_current_values;51;spm_promedio;stage.tbl_pozo_produccion;Promedio de golpes por minuto actual;Production / Hydralift T4 Surface Operations;Card KPI;Crear tabla reporting_current_values;1;Instantánea;AVG;"Instantánea → dataset_current_values
Día → FACT_OPERACIONES_HORARIAS
Mes/Año → FACT_OPERACIONES_DIARIAS"
Pump Average SPM(target);pump_spm_target;reporting.dim_pozo;calculado;-;-;target. <=2,1 spm;Production;Card KPI-target estático;Crear tabla reporting.DIM_POZO. <=2,1  spm;1;Estática;LAST;N/A
Pump Average SPM(var_pct);pump_spm_var_pct;reporting.dataset_current_values;calculado;-;-;Variación porcentual: ((Pump_Avg_SPM_act / Pump_SPM_target) - 1) * 100.;Production;Card KPI: variación porcentual;Crear tabla reporting_current_values. Variación: ((act / target) - 1) * 100. ;1;Instantánea;AVG;"Instantánea → dataset_current_values
Día → FACT_OPERACIONES_HORARIAS
Mes/Año → FACT_OPERACIONES_DIARIAS"
Pump Average SPM(status color);pump_spm_status_color;reporting.dataset_current_values;calculado;-;-;Color según regla de severidad;Production;Card-text-color;Crear tabla reporting_current_values. Pump_SPM_status_color:>0:#00FF00 (Verde),<0  : #FF0000 (Rojo);1;Instantánea;N/A;Instantánea
Pump Stroke Length(in)(current value);pump_stroke_length_act;reporting.dataset_current_values;calculado;-;-;Longitud de Carrera actual de la bomba. Se tomará el maximo de la posición de la carta dinagráfica de fondo actual. Formato 1=carrera_actual_bomba;Production;Card KPI;Crear tabla reporting_current_values;2;Instantánea;AVG;Instantánea → dataset_current_values / Día → FACT_OPERACIONES_HORARIAS / Mes → FACT_OPERACIONES_DIARIAS
Pump Stroke Length(in)(target);pump_stroke_length_target;reporting.dim_pozo;calculado;-;-;Meta de diseño esperada para longitud de carrera. target. <=360 in;Production;Card-target;Crear tabla reporting.DIM_POZO. <=360 in;2;Estática;LAST;N/A
Pump Stroke Length(in)(var);pump_stroke_length_var_pct;reporting.dataset_current_values;calculado;-;-;Variación porcentual entre valor actual y meta: ((act / target) - 1) * 100.;Production;Card-var;Crear tabla reporting_current_values. Variación: ((act / target) - 1) * 100. ;2;Instantánea;AVG;Instantánea → dataset_current_values / Día → FACT_OPERACIONES_HORARIAS / Mes → FACT_OPERACIONES_DIARIAS
Pump Stroke Length(in)(status color);pump_stroke_length_status_color;reporting.dataset_current_values;calculado;-;-;Color según regla de severidad para longitud de carrera;Production;Card-text-color;Crear tabla reporting_current_values. Pump_Stroke_Lenght_satatus_color:>0:#00FF00 (Verde),<0  : #FF0000 (Rojo);2;Instantánea;N/A;Instantánea → dataset_current_values
pump_fill_monitor(%);pump_fill_monitor_pct;reporting.dataset_current_values;64;pump_fill_monitor;stage.tbl_pozo_produccion;Porcentaje de llenado de la bomba (valor actual);Production;Card KPI;Porcentaje de llenado de la bomba (valor actual);3;Instantánea;AVG;Instantánea → dataset_current_values / Día → FACT_OPERACIONES_HORARIAS / Mes → FACT_OPERACIONES_DIARIAS
pump_fill_monitor(%)(target);pump_fill_monitor_target;reporting.dim_pozo;calculado;-;-;Meta esperada de llenado de bomba (>= 80%);Production;Card KPI-valor target estático;Meta esperada de llenado de bomba (>= 80%);3;Estática;LAST;N/A
pump_fill_monitor(%)(var);pump_fill_monitor_var;reporting.dataset_current_values;calculado;-;-;Variación porcentual entre valor actual y meta;Production;Card KPI-valor estático;Variación porcentual entre valor actual y meta;3;Instantánea;AVG;Instantánea → dataset_current_values / Día → FACT_OPERACIONES_HORARIAS / Mes → FACT_OPERACIONES_DIARIAS
pump_fill_monitor(%)(status color);pump_fill_monitor_status_color;reporting.dataset_current_values;calculado;-;-;Color según regla de severidad (Normal/Warning/Alert/Critical);Production;Card KPI-text-color;Color según regla de severidad (Normal/Warning/Alert/Critical);3;Instantánea;N/A;Instantánea → dataset_current_values
Gas Fill Monitor;gas_fill_monitor_pct_act;reporting.dataset_current_values;96;monitor_llenado_gas;stage.tbl_pozo_produccion;Porcentaje actual de gas en la bomba (valor instantáneo);Production;Card KPI-Current value;Crear tabla reporting_current_values;4;Instantánea;AVG;Instantánea → dataset_current_values / Día → FACT_OPERACIONES_HORARIAS / Mes → FACT_OPERACIONES_DIARIAS
Gas Fill Monitor(target);gas_fill_monitor_target;reporting.dim_pozo;calculado;-;-;Meta esperada de gas fill (umbral definido por ingeniería) <=20%;Production;Card KPI-target;Crear tabla reporting.DIM_POZO.<=20%;4;Estática;LAST;N/A
Gas Fill Monitor(label);gas_fill_severity_label;reporting.dataset_current_values;calculado;-;-;Etiqueta de severidad según umbrales (Normal / Warning / Alert / Critical);Production;Card-label;"Crear tabla reporting_current_values. Lógica Unipalabra:

1. IF (val <= 5) THEN 'Normal'

2. ELSEIF (val > 5 AND val <= 15) THEN 'Warning'

3. ELSEIF (val > 15 AND val <= 20) THEN 'Alert'

4. ELSE 'Critical' END";4;Instantánea;N/A;Instantánea → dataset_current_values
Gas Fill Monitor(status color);gas_fill_status_color;reporting.dataset_current_values;calculado;-;-;Color según regla de severidad (mapeo de severity_label a código de color);Production;Card-text-color;Crear tabla reporting_current_values. Gas_Fill_status_colorr:Normal :#00FF00 (Verde),Warning : #FFFF00 (Amarillo),Alert : #FFA500 (Naranja,)Critical : #FF0000 (Rojo);4;Instantánea;N/A;Instantánea → dataset_current_values
Lift Efficiency(%);lift_efficiency_pct_act;reporting.dataset_current_values;118;eficiencia_levantamiento;stage.tbl_pozo_produccion;Eficiencia de levantamiento actual (relación entre energía y producción);Production;Card KPI;Eficiencia de levantamiento actual (energía vs producción);5;Instantánea;AVG;Instantánea → dataset_current_values / Día → FACT_OPERACIONES_HORARIAS / Mes → FACT_OPERACIONES_DIARIAS
Lift Efficiency(%)(target);lift_efficiency_target;reporting.dim_pozo;calculado;-;-;Meta esperada de eficiencia (definida por ingeniería) >60%;Production;Card KPI-valor target estático;Meta esperada de eficiencia (target >= 60%);5;Estática;LAST;N/A
Lift Efficiency(%)(severity label);lift_efficiency_severity_label;reporting.dataset_current_values;calculado;-;-;Etiqueta de severidad según umbrales (Normal / Warning / Alert / Critical);Production;Card KPI-label severity status;Severidad: ≥60 Normal, 50–59.99 Warning, 40–49.99 Alert, <40 Critical;5;Instantánea;N/A;Instantánea → dataset_current_values
Max. Road Load(lb);max_rod_load_lb_act;reporting.dataset_current_values;76;maximum_rod_load;stage.tbl_pozo_produccion;Carga Máxima de Varillas.carga máxima que soporta el vástago (sarta de varillas) durante el ciclo de bombeo, generalmente en el punto más alto de la carrera;Production;Card KPI Multiple;Crear tabla reporting_current_values;"""6-21""";Instantánea;MAX;Inst → dataset_current_values / Día → Horarias / Mes → Diarias
Min. Road Load(lb);min_rod_load_lb_act;reporting.dataset_current_values;77;minimum_rod_load;stage.tbl_pozo_produccion;Carga Mínima de Varillas. carga mínima que soporta el vástago durante el ciclo de bombeo, generalmente en el punto más bajo de la carrera;Production;Card KPI Multiple;Crear tabla reporting_current_values;6;Instantánea;MIN;Inst → dataset_current_values / Día → Horarias / Mes → Diarias
Max. Pump Load(lb);max_pump_load_lb_act;reporting.dataset_current_values;74;monitor_carga_bomba;stage.tbl_pozo_produccion;"Carga_Max_bomba_lb. Carga Máxima de Bomba. Monitor de carga de la bomba id=74. ""ETL calcula Min/Max desde ID 74 y guarda el escalar en Reporting.""";Production;Card KPI Multiple;Crear tabla reporting_current_values;6;Instantánea;MAX;Inst → dataset_current_values
Min. Pump Load(lb);min_pump_load_lb_act;reporting.dataset_current_values;74;monitor_carga_bomba;stage.tbl_pozo_produccion;"Carga Mínima de Bomba. Monitor de carga de la bomba id=74. ""ETL calcula Min/Max desde ID 74 y guarda el escalar en Reporting.""";Production;Card KPI Multiple;Crear tabla reporting_current_values;6;Instantánea;MIN;Inst → dataset_current_values
Rod_weight In Air(lb);rod_weight_in_air_lb;reporting.dim_pozo;72;peso_sarta_aire;stage.tbl_pozo_maestra;peso de la sarta en el aire(por diseño). schema stage: stage.tbl_pozo_produccion: peso_sarta_aire;Production;Card KPI Multiple;;6;Estática;LAST;N/A
Bouyant Rod Weight(lb);rod_weight_buoyant_lb_act;reporting.dataset_current_values;73;rod_weight_buoyant;stage.tbl_pozo_produccion;"Peso de la sarta en flotacion. schema stage: schema : stage.tbl_pozo_produccion:
rod_weight_buoyant";Production;Card KPI Multiple;Crear tabla reporting_current_values;6;Instantánea;LAST;Inst → dataset_current_values / Día → Horarias / Mes → Diarias
API Maximum Fluid Load(lb);api_max_fluid_load_lb;reporting.dim_pozo;75;carga_maxima_fluido_api;stage.tbl_pozo_maestra;schema : stage.tbl_pozo_produccion carga_maxima_fluido_api;Production;Card KPI Multiple;;6;Estática;LAST;N/A
Fluid Level(TVD);fluid_level_tvd_ft;reporting.dataset_current_values;59;nivel_fluido_dinamico;stage.tbl_pozo_reservas;nivel_fluido_dinamico. schema: stage.tbl_pozo_reservas. distancia vertical medida desde la boca del pozo hasta el nivel que alcanza la columna de fluido cuando el pozo está produciendo.;Production;Card KPI Multiple;;6;Instantánea;LAST;Inst → dataset_current_values / Día → Horarias / Mes → Diarias
Pump_Depth;pump_depth_ft;reporting.dim_pozo;39;profundidad_vertical_bomba;stage.tbl_pozo_maestra;schema Stage: profundidad_vertical_bomba. Traida de tabla maestra;Production;Card KPI Multiple;;6;Estática;LAST;N/A
Formation_depth;formation_depth_ft;reporting.dim_pozo;38;profundidad_vertical_yacimiento;stage.tbl_pozo_maestra;schema stage: profundidad_vertical_yacimiento. Traida de Tabla Maestra;Production;Card KPI Multiple;;6;Estática;LAST;N/A
Qact/Qf;produccion_fluido_bpd_act;reporting.dataset_current_values;107;produccion_fluido_diaria;stage.tbl_pozo_produccion;Caudal instantáneo de fluido total (petróleo + agua);Production;Card KPI Multiple;Crear tabla reporting_current_values;7;Instantánea;LAST;Inst → dataset_current_values / Día → Horarias / Mes → Diarias
Qo;produccion_petroleo_diaria_bpd_act;reporting.dataset_current_values;108;produccion_petroleo_diaria;stage.tbl_pozo_produccion;Producción de petróleo diaria (BPD).;Production;Card KPI Multiple;Crear tabla reporting_current_values;7;Instantánea;LAST;Inst → dataset_current_values / Día → Horarias / Mes → Diarias
Qw;produccion_agua_diaria_bpd_act;reporting.dataset_current_values;109;produccion_agua_diaria;stage.tbl_pozo_produccion;Producción de agua diaria (BPD).;Production;Card KPI Multiple;Crear tabla reporting_current_values;7;Instantánea;LAST;Inst → dataset_current_values / Día → Horarias / Mes → Diarias
Qact/Qf;produccion_fluido_bbl;reporting.FACT_OPERACIONES_DIARIAS;107;produccion_fluido_diaria;stage.tbl_pozo_produccion;Caudal de fluido total (petróleo + agua);Production;Grafico de area;Incluir en reporting operaciones horarias. NO existe;7;Diaria;SUM;Se agrega por rango de fechas seleccionado.
Qo;produccion_petroleo_bbl;reporting.FACT_OPERACIONES_DIARIAS;108;produccion_petroleo_diaria;stage.tbl_pozo_produccion;Producción de petróleo diaria (BPD).;Production;Grafico de area;Cambiar en reporting diaria Produccion_Petroleo_bbl por Produccion_Petroleo_Diaria_bpd;7;Diaria;SUM;Se agrega por rango de fechas seleccionado.
Qw;produccion_agua_bbl;reporting.FACT_OPERACIONES_DIARIAS;109;produccion_agua_diaria;stage.tbl_pozo_produccion;Producción de agua diaria (BPD).;Production;Grafico de area;;7;Diaria;SUM;Se agrega por rango de fechas seleccionado.
Carta Dinagráfica;calculado;N/A;Proceso Carta;-;Universal;Carta Dinagráfica (Lectura Directa Stage);Production;Imagen/Dos Grafico de linea. Usando la misma escala. Uno de superficie (coordenas x,y) y uno de fondo(coordenadas x,y). El Widget Visual lee directo de Stage (Arrays). No duplicar en Reporting.;;8;Instantánea;LAST;reporting calcula agregados horarios/diarios.
Pwf;pwf_psi_act;reporting.dataset_current_values;151;PWF_psi;Capa Universal;Esquema UNIVERSAL. Se calcula con PIP(61), WHP(54) y grad de fluido(calc). Flowing Bottom-Hole Pressure o presión de fondo fluyente.;Production;Multicard;Crear tabla reporting_current_values;9;Horaria;LAST;Último valor disponible
WHP;well_head_pressure_psi_act;reporting.dataset_current_values;54;presion_cabezal;stage.tbl_pozo_produccion;Presión de Cabezal del Pozo. Well Head Pressure;Production;Multicard KPI;Crear tabla reporting_current_values;9;Instantánea;LAST;Último registro en rango
CHP;casing_head_pressure_psi_act;reporting.dataset_current_values;55;presion_casing;stage.tbl_pozo_produccion;Presión de Casing.;Production;Multicard;Crear tabla reporting_current_values;9;Instantánea;LAST;Último registro en rango
PIP;pump_intake_pressure_psi_act;reporting.dataset_current_values;61;PIP;stage.tbl_pozo_produccion;Presión de Entrada de la Bomba. Pump Intake Pressure;Production;Multicard;Crear tabla reporting_current_values;9;Instantánea;LAST;Último registro en rango
PDP;pump_discharge_pressure_psi_act;reporting.dataset_current_values;62;presion_descarga_bomba;stage.tbl_pozo_produccion;schema Stage: presion_descarga_bomba. Proviene de la tbl_pozo_prducción. Es la Presión de descarga de la bomba . Pump Discharge Pressure;Production;Multicard;Crear tabla reporting_current_values;9;Instantánea;LAST;Último registro en rango
IPR;curva_ ipr;reporting.FACT_OPERACIONES_HORARIAS;N/A;-;-;Imagen de última Curva;Production;Grafico Imagen;"Si se usara como variable array:""Ingesta Horaria desde Capa Universal. Guardar Qmax, Pwf, Presión Yacimiento.""";10;Horaria;LAST;Último registro en rango
Np(bbl);produccion_petroleo_acumulada_bbl;reporting.FACT_OPERACIONES_MENSUALES;98;produccion_petroleo_acumulada;stage.tbl_pozo_produccion;Esquema Stage: produccion_petroleo_acumulada. Proviene de tbl_pozo_produccion. SE cambia el nombre en reporting (mensual)de Total_petroleo_bbl a Produccion_Pertroleo_Acumulada_bbl;Production;Grafico Circular/Texto;;11;Mensual;MAX;Se agrega por rango de fechas seleccionado.
RR(bbl);remanent_reserves_bbl;calculado;130;Reserva remanente;calculado;RR=Total.Res-Np;Production;Grafico Circular/Texto;Calculado. Inlcuir en reporting.fact_operaciones_mensuales;11;Mensual;LAST;Último registro en rango
Total Res.(bbl);total_reserves_bbl;reporting.dim_pozo;128;reserva_inicial_teorica;stage.tbl_pozo_reservas;Dato especificado por el cliente. Histórico de datos de producción/ reservorio;Production;Grafico Circular/Texto;;11;Mensual;LAST;Último registro en rango
Road Strok Length (in)(Rated);longitud_carrera_nominal_in;reporting.dim_pozo;42;longitud_carrera_nominal_unidad_in;stage.tbl_pozo_maestra;Longitud de carrera nominal de la unidad de bombeo;Hydralift T4 Surface Operations;Card KPI;;12;Estática;LAST;N/A
Road Strok Length (in)(Current);current_stroke_length_act_in;reporting.dataset_current_values;68;carrera_actual_unidad;calculado;carrera_actual_unidad. Calculado (Sacar máximo) de carta de superficie.Longitud de carrera actual de la unidad.;Hydralift T4 Surface Operations;Card KPI;Crear tabla reporting_current_values;12;Instantánea;MAX;Instantánea → dataset_current_values
Hydraulic Load Rated(Load klb);hydraulic_load_rated_lb;reporting.dim_pozo;46;carga_nominal_unidad;stage.tbl_pozo_maestra;carga_nominal_unidad. Proviene de schema stage.tbl_pozo_maestra. Carga nominal de la unidad Hydralift. Formato 1: Rated load of Hydralift unit, lb. Transformar dividiendo entre mil;Hydralift T4 Surface Operations;texto-target;;13;Instantánea;LAST;N/A
Hydraulic Load Rated(%Load);hydraulic_load_rated_pct;reporting.dim_pozo;calculado;-;-;"Es un valor de referencia o consigna (setpoint). Indica qué porcentaje de la capacidad total se ha definido como el ""límite seguro"" de operación para ese pozo específico o la unidad. Dato suministrado por el cliente. Ejem: 90% de la capacidad nominal. Cambia si se reemplaza la unidad.(equipo). Esquema referencial";Hydralift T4 Surface Operations;texto-target;"Calculado. Inlcuir en reporting.current_values.  Es un valor de referencia o consigna (setpoint). Indica qué porcentaje de la capacidad total se ha definido como el ""límite seguro"" de operación para ese pozo específico o la unidad. Dato suministrado por el cliente. Ejem: 90% de la capacidad nominal. Cambia si se reemplaza la unidad.(equipo)";13;Instantánea;LAST;N/A
Tank Fluid Temperature (F);tank_fluid_temperature_f;reporting.dataset_current_values;94;temperatura_tanque_aceite;stage.tbl_pozo_produccion;ID corregido. Temperatura del aceite en el tanque de la bomba;Hydralift T4 Surface Operations;Card KPI;Crear tabla reporting_current_values;14;Instantánea;LAST;Instantánea → dataset_current_values
Tank Fluid Temperature (F)(target);tank_fluid_temperature_f_target;reporting.dim_pozo;calculado;-;-;Target <= 150 °F;Hydralift T4 Surface Operations;Card-Texto target;Crear variable en  reporting.DIM_POZO. Target <= 150 °F;14;Estática;LAST;N/A
Tank Fluid Temperature (F)(severity label);tank_fluid_temperature_f_severity_label;reporting.dataset_current_values;calculado;-;-;"Normal: val <= 140 Verde.
Warning: val > 140 AND val <= 160 Amarillo.
Alert: val > 160 AND val <= 180 Naranja.
Critical: val > 180 Rojo.";Hydralift T4 Surface Operations;Card-Texto severity;"Crear variable en reporting current_values
Normal: val <= 140 Verde.
Warning: val > 140 AND val <= 160 Amarillo.
Alert: val > 160 AND val <= 180  Naranja.
Critical: val > 180 Rojo.";14;Instantánea;LAST;Instantánea → dataset_current_values
Motor power (Hp)(Rated);potencia_nominal_motor_hp;reporting.dim_pozo;43;potencia_nominal_motor;stage.tbl_pozo_maestra;Potencia nominal del motor;Hydralift T4 Surface Operations;Card KPI-Value;;15;Estática;LAST;N/A
Motor power (Hp)(Current);motor_power_hp_act;reporting.dataset_current_values;66;potencia_actual_motor;stage.tbl_pozo_produccion;potencia_actual_motor. Potencia actual consumida por el motor.;Hydralift T4 Surface Operations;Card KPI-Value;Consumo eléctrico real del motor.;15;Instantánea;LAST;Instantánea → dataset_current_values
Motor current(A);motor_current_a_act;reporting.dataset_current_values;67;current_amperage;stage.tbl_pozo_produccion;schema stage.tbl_pozo_produccion . Corriente del motor(Amper) instantánea;Hydralift T4 Surface Operations;Card KPI-Value;Cambiar nombre en esquema current_values v.1;16;Instantánea;LAST;Instantánea → dataset_current_values
Motor current(A)(grafico tendencia);motor_current_a_avg_day;reporting.FACT_OPERACIONES_DIARIAS;67;current_amperage;stage.tbl_pozo_produccion;schema stage.tbl_pozo_produccion . Corriente del motor(Amper). Variable en promedio diario;Hydralift T4 Surface Operations;GraficoTendencia-avg_day;Crear variable en reporting fact.operaciones diarias;16;Diaria;AVG;Se agrega por rango de fechas seleccionado.
Motor current(A)(avg week);motor_current_avg_7d;reporting.FACT_OPERACIONES_DIARIAS;67;current_amperage;stage.tbl_pozo_produccion;schema stage.tbl_pozo_produccion . Corriente del motor(Amper). Variable en promedio semana;Hydralift T4 Surface Operations;GraficoTendencia-avg_7day;Crear variable en reporting. Fact_operaciones_ diarias. Valor promedio movil de los ultimos 7dias;16;Semanal;AVG-7DAY MOVIL;Se agrega por rango de fechas seleccionado.
Motor current(A)(rate);motor_current_a_rate;reporting.dim_pozo;44;corriente_nominal_motor;stage.tbl_pozo_maestra;schema stage.tbl_pozo_maestra .Equipos(nominales) Corriente del motor(Amper). Corriente nominal del motor;Hydralift T4 Surface Operations;Multi Card-target/ Minigrafico tendencia;Crear variable en reporting reporting.dim_pozo;16;Estática;LAST;N/A
Motor current(A)(target);motor_current_target;reporting.dim_pozo;calculado;-;-;Reporting: 95% de motor_current_rate;Hydralift T4 Surface Operations;GraficoTendencia-target line chart;Crear variable en reporting reporting.dim_pozo y fact_operaciones_diarias. 95% de motor_current_rate;16;Estática;LAST;N/A
Motor On status;estado_motor_on;reporting.FACT_OPERACIONES_DIARIAS;120;estado_motor;stage.tbl_pozo_produccion;Estado de actividad del motor;Hydralift T4 Surface Operations;Barra horizontal unicolor de estado dinámico;Crear tabla reporting_current_values;17;Instantánea;LAST;Instantánea → dataset_current_values
Uptime(%);kpi_uptime_pct_act;reporting.dataset_current_values;106;porcentaje_operacion_diario;stage.tbl_pozo_produccion;Porcentaje de operación diario el momento de la consulta(lo que va del día);Business KPIs/ Hydralift T4 Surface Operations;Card KPI;Crear tabla en reporting_current_values;17;Instantánea;LAST;Último registro en rango
Uptime(target);kpi_uptime_pct_target;reporting.dim_pozo;106;-;Calculado;Definición de negocio establecida en el plan de monitoreo. Uptime>=95%;Business KPIs/ Hydralift T4 Surface Operations;barra horizontal tipo semáforo con rangos definidos por el target >95.;Crear tabla reporting.DIM_POZO.  target>=95;"""17-28""";Estática;LAST;N/A
Uptime(color-form);kpi_uptime_pct_status_color;reporting.dataset_current_values;calculado;-;-;"Normal: val >= 95 Verde (#00FF00).
Warning: val >= 90 AND val < 95 Amarillo (#FFFF00)
.Alert: val >= 80 AND val < 90 Naranja (#FFA500).
Critical: val < 80 Rojo (#FF0000).";Business KPIs/ Hydralift T4 Surface Operations;Circulo color status;"Crear variable en reporting.current_values.
Normal: val >= 95 Verde (#00FF00).
Warning: val >= 90 AND val < 95 Amarillo (#FFFF00)
.Alert: val >= 80 AND val < 90   Naranja (#FFA500).
Critical: val < 80  Rojo (#FF0000).";17;Instantánea;LAST;Último registro en rango
Daily Down time;daily_downtime_act;reporting.dataset_current_values;114;tiempo_parada_poc_diario;stage.tbl_pozo_produccion;Tiempo de parada por eventos no programados (Downtime). En schema stage: tiempo_parada_poc_diario. Correlacionar;Hydralift T4 Surface Operations;Card-target;crear variable en reporting.dataset_current_values;18;Instantánea;LAST;Último registro en rango
Daily Down time(target);daily_downtime_target;reporting.dim_pozo;calculado;-;-;Definición de negocio establecida en el plan de monitoreo. Almacena el límite máximo permitido. <=1,2 hr;Hydralift T4 Surface Operations;Card-target;crear variable en reporting.dataset_current_values;18;Estática;LAST;N/A
Daily Down time(color-formt);daily_downtime_status_color;reporting.dataset_current_values;calculado;-;-;"1. Normal #00FF00 (Verde)
2. Warning #FFFF00 (Amarillo) 3. Alert #FFA500 (Naranja)
4. Critical #FF0000 (Rojo).
Lógica Unipalabra (Target <=1.2h): 1. <= 1.2: Normal
2. 1.21 - 2.5: Warning 3. 2.51 - 4.0: Alert
4. > 4.0: Critical.";Hydralift T4 Surface Operations;Circulo color status;"crear variable en reporting.dataset_current_values
1. Normal  #00FF00 (Verde)  
2. Warning  #FFFF00 (Amarillo) 
 3. Alert  #FFA500 (Naranja)  
4. Critical  #FF0000 (Rojo).";18;Instantánea;LAST;Último registro en rango
Tilt Alarm(coordenada x);inclinacion_cilindro_x_act;reporting.dataset_current_values;88;inclinacion_cilindro_x;stage.tbl_pozo_produccion;Almacena únicamente el último valor de inclinación en X recibido de SCADA.;Hydralift T4 Surface Operations;Grafico Bulleyes;Crear variable en reporting current_values;19;Instantánea;LAST;Último registro en rango
Tilt Alarm(coordenada y);inclinacion_cilindro_y_act;reporting.dataset_current_values;89;inclinacion_cilindro_y;stage.tbl_pozo_produccion;Almacena únicamente el último valor de inclinación en Y recibido de SCADA.;Hydralift T4 Surface Operations;Grafico Bulleyes;Crear variable en reporting current_values;19;Instantánea;LAST;Último registro en rango
Tilt Alarm(alarma);alerta_inclinacion_grados;reporting.dim_pozo;90;alerta_inclinacion_grados;stage.tbl_pozo_produccion;es un límite de diseño suministrado por el cliente que define el primer círculo del Bullseye.=0,5 grados;Hydralift T4 Surface Operations;Grafico Bulleyes;Crear variable en  reporting.DIM_POZO;19;Estática;LAST;N/A
Tilt Alarm(falla);falla_inclinacion_grados;reporting.dim_pozo;91;falla_inclinacion_grados;stage.tbl_pozo_produccion;Define el círculo exterior de falla crítica. 0,7 grados;Hydralift T4 Surface Operations;Grafico Bulleyes;Crear variable en reporting.DIM_POZO;19;Estática;LAST;N/A
