Stage: Nombre Columna;Stage: Unidad;Stage: Observaciones;ID_formato1vfinal
produccion_petroleo_diaria;bbl;Producción de petróleo diaria;108
produccion_agua_diaria;bbl;Producción de agua diaria;109
produccion_gas_diaria;scf;Producción de gas diaria;110
emboladas_diarias;Strokes/D;Número de emboladas por día;111
llenado_promedio_diario;%;Porcentaje de llenado promedio diario;112
fuga_diaria;bl;Fuga diaria estimada;113
tiempo_parada_poc_diario;hh.mm;Tiempo de parada diario (Pump-Off Controller);114
conteo_poc_diario;num;Conteo de eventos POC diarios;115
potencia_medidor_diaria;HP;Potencia diaria (medidor);116
uso_energia_medidor;kwh/bbl;Uso de energía (medidor);117
eficiencia_levantamiento;%;Eficiencia del sistema de levantamiento;118
monitor_llenado_liquido;%;Monitor de llenado de líquido;119
estado_motor;N/A;Estado del motor (Encendido/Apagado);120
carrera_bomba_api;inches;Longitud de carrera de la bomba (API);121
carrera_varilla_s;In;Longitud de carrera nominal actual (S);122
emboladas_arranque_poc;strokes;Emboladas durante el arranque (POC);123
emboladas_espera_poc;strokes;Emboladas en modo de espera (POC);124
conteo_poc_medidor_acum;N/A;Conteo POC acumulado (medidor);125
tiempo_parada_poc_medidor_acum;N/A;Tiempo de parada POC acumulado (medidor);126
spm_promedio_diario_medidor;SPM;SPM promedio diario (medidor);127
q_maximo;bpd;Caudal máximo potencial (calculado, IPR);150
presion_fondo_fluyente;PSI;Puede ser medido o calculado;151
q_esperado;bpd;Caudal esperado (calculado);152
relacion_pwf_pe;%;Relación entre presión de fondo fluyente y estática;153
relacion_qf_qmax;%;Relación entre caudal actual y caudal máximo;154
surface_rod_position;;;155
surface_rod_load;;;156
downhole_pump_position;;;157
downhole_pump_load;;;158
radio_equivalente;Pies;Cálculo teórico;N/A
longitud_horizontal;Pie;Dato fijo del completamiento;160
factor_dano;Adimensional;Interpretación de pruebas;N/A
permeabilidad_vertical;mili Darcy;Métodos teóricos;N/A
well_id;;;
well_id;;;
date;;;
date;;;
date;;;
date;;;
